"publication_year per year","contributors.contributorType: Descending",Count
2024,Researcher,1
2025,DataCollector,801
2025,ContactPerson,26
2025,Other,24
2025,Supervisor,4
2026,Other,9
2026,ContactPerson,7
2026,DataCollector,7
2026,Supervisor,3
2026,RightsHolder,1
2027,DataCollector,22
2027,Other,2
2027,Supervisor,2
2027,ContactPerson,1
2028,ContactPerson,7
2028,DataCollector,5
2028,Other,4
2029,ContactPerson,7
2029,DataCollector,7
2029,Funder,1
2029,Other,1
